File: diagnostic
Build ID: c5c547761b7abed7a06d8d64f49e8485c1ad07cd
Type: cpu
Time: 2026-09-16 21:25:21 UTC
Duration: 4.17s, Total samples = 5.51s (132.02%)
Showing nodes accounting for 3.88s, 70.42% of 5.51s total
Dropped 466 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._moveToChild
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._moveToRoot
         0     0% 70.42%      0.05s  0.91%  modernc.org/sqlite/lib._pcache1FetchWithMutex
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._readDbPage
         0     0% 70.42%      0.21s  3.81%  modernc.org/sqlite/lib._resolveSelectStep
         0     0% 70.42%      0.10s  1.81%  modernc.org/sqlite/lib._seekAndRead
         0     0% 70.42%      0.08s  1.45%  modernc.org/sqlite/lib._sqlite3BtreePayload (inline)
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3BtreePayloadSize (partial-inline)
         0     0% 70.42%      0.05s  0.91%  modernc.org/sqlite/lib._sqlite3ExprCodeExprList
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3ExprCodeGetColumn
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3FindTable
         0     0% 70.42%      0.09s  1.63%  modernc.org/sqlite/lib._sqlite3GenerateColumnNames
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3HashFind (inline)
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3LocateTable
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3LocateTableItem
         0     0% 70.42%      1.46s 26.50%  modernc.org/sqlite/lib._sqlite3LockAndPrepare
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3Malloc
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3MemFree
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3MemMalloc
         0     0% 70.42%      0.10s  1.81%  modernc.org/sqlite/lib._sqlite3OsRead (inline)
         0     0% 70.42%      0.10s  1.81%  modernc.org/sqlite/lib._sqlite3PagerGet (inline)
         0     0% 70.42%      0.07s  1.27%  modernc.org/sqlite/lib._sqlite3PcacheFetch
         0     0% 70.42%      0.21s  3.81%  modernc.org/sqlite/lib._sqlite3ResolveSelectNames
         0     0% 70.42%      0.05s  0.91%  modernc.org/sqlite/lib._sqlite3SelectDelete
         0     0% 70.42%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3SrcListAppend
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3SrcListAppendFromTerm
         0     0% 70.42%      0.53s  9.62%  modernc.org/sqlite/lib._sqlite3Step
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3VdbeFreeCursorNN
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3VdbeIdxRowid
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3VdbeRecordCompare
         0     0% 70.42%      0.11s  2.00%  modernc.org/sqlite/lib._sqlite3VdbeReset
         0     0% 70.42%      0.31s  5.63%  modernc.org/sqlite/lib._sqlite3WalkSelect
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3WhereExprAnalyze
         0     0% 70.42%      0.10s  1.81%  modernc.org/sqlite/lib._unixRead
         0     0% 70.42%      0.10s  1.81%  modernc.org/sqlite/lib._vdbeColumnFromOverflow
         0     0% 70.42%      0.05s  0.91%  modernc.org/sqlite/lib._whereLoopAddAll
         0     0% 70.42%      0.04s  0.73%  modernc.org/sqlite/lib._whereLoopAddBtree
         0     0% 70.42%      0.06s  1.09%  modernc.org/sqlite/lib._whereScanInit
         0     0% 70.42%      0.05s  0.91%  runtime.(*mcache).prepareForSweep
         0     0% 70.42%      0.04s  0.73%  runtime.(*mcache).refill
         0     0% 70.42%      0.05s  0.91%  runtime.(*mcentral).uncacheSpan
         0     0% 70.42%      0.04s  0.73%  runtime.acquirep
         0     0% 70.42%      0.04s  0.73%  runtime.acquirepNoTrace
         0     0% 70.42%      0.05s  0.91%  runtime.bgsweep
         0     0% 70.42%      0.03s  0.54%  runtime.forEachP (inline)
         0     0% 70.42%      0.03s  0.54%  runtime.forEachP.func1
         0     0% 70.42%      0.03s  0.54%  runtime.forEachPInternal
         0     0% 70.42%      0.09s  1.63%  runtime.futexsleep
         0     0% 70.42%      0.06s  1.09%  runtime.futexwakeup
         0     0% 70.42%      0.33s  5.99%  runtime.gcBgMarkWorker
         0     0% 70.42%      0.28s  5.08%  runtime.gcBgMarkWorker.func2
         0     0% 70.42%      0.28s  5.08%  runtime.gcDrain
         0     0% 70.42%      0.07s  1.27%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 70.42%      0.07s  1.27%  runtime.gcDrainMarkWorkerFractional (inline)
         0     0% 70.42%      0.14s  2.54%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 70.42%      0.05s  0.91%  runtime.gcMarkDone
         0     0% 70.42%      0.03s  0.54%  runtime.gcMarkTermination
         0     0% 70.42%      0.03s  0.54%  runtime.gcStart
         0     0% 70.42%      0.04s  0.73%  runtime.gcstopm
         0     0% 70.42%      0.56s 10.16%  runtime.goexit0
         0     0% 70.42%      0.04s  0.73%  runtime.gopreempt_m (inline)
         0     0% 70.42%      0.04s  0.73%  runtime.goschedImpl
         0     0% 70.42%      0.07s  1.27%  runtime.mPark (inline)
         0     0% 70.42%      4.42s 80.22%  runtime.main
         0     0% 70.42%      0.06s  1.09%  runtime.markroot
         0     0% 70.42%      0.05s  0.91%  runtime.markrootBlock
         0     0% 70.42%      0.60s 10.89%  runtime.mcall
         0     0% 70.42%      0.04s  0.73%  runtime.morestack
         0     0% 70.42%      0.05s  0.91%  runtime.newproc
         0     0% 70.42%      0.05s  0.91%  runtime.newproc.func1
         0     0% 70.42%      0.03s  0.54%  runtime.newproc1
         0     0% 70.42%      0.04s  0.73%  runtime.newstack
         0     0% 70.42%      0.07s  1.27%  runtime.notesleep
         0     0% 70.42%      0.06s  1.09%  runtime.notewakeup
         0     0% 70.42%      0.04s  0.73%  runtime.park_m
         0     0% 70.42%      0.05s  0.91%  runtime.resetspinning
         0     0% 70.42%      0.35s  6.35%  runtime.runqsteal
         0     0% 70.42%      0.06s  1.09%  runtime.scanSpan
         0     0% 70.42%      0.58s 10.53%  runtime.schedule
         0     0% 70.42%      0.04s  0.73%  runtime.slicebytetostring
         0     0% 70.42%      0.06s  1.09%  runtime.startm
         0     0% 70.42%      0.11s  2.00%  runtime.stopm
         0     0% 70.42%      0.05s  0.91%  runtime.sweepone
         0     0% 70.42%      0.08s  1.45%  runtime.wakep
         0     0% 70.42%      0.13s  2.36%  syscall.RawSyscall6
         0     0% 70.42%      0.04s  0.73%  syscall.Syscall
         0     0% 70.42%      0.12s  2.18%  syscall.Syscall6
