File: diagnostic
Build ID: c5c547761b7abed7a06d8d64f49e8485c1ad07cd
Type: cpu
Time: 2026-09-16 21:25:21 UTC
Duration: 4.17s, Total samples = 5.51s (132.02%)
Showing nodes accounting for 3.88s, 70.42% of 5.51s total
Dropped 466 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     0.02s  0.36% 56.26%      0.04s  0.73%  modernc.org/sqlite/lib._releaseMemArray
     0.02s  0.36% 56.62%      0.07s  1.27%  modernc.org/sqlite/lib._selectExpander
     0.02s  0.36% 56.99%      0.10s  1.81%  modernc.org/sqlite/lib._sqlite3BtreeIndexMoveto
     0.02s  0.36% 57.35%      0.05s  0.91%  modernc.org/sqlite/lib._sqlite3VdbeMemSetText
     0.02s  0.36% 57.71%      0.12s  2.18%  modernc.org/sqlite/lib._sqlite3WalkExprNN
     0.02s  0.36% 58.08%      0.33s  5.99%  modernc.org/sqlite/lib._sqlite3WhereBegin
     0.02s  0.36% 58.44%      0.08s  1.45%  modernc.org/sqlite/lib._sqlite3WhereCodeOneLoopStart
     0.02s  0.36% 58.80%      0.03s  0.54%  runtime.(*spanSet).push
     0.02s  0.36% 59.17%      0.08s  1.45%  runtime.(*sweepLocked).sweep
     0.02s  0.36% 59.53%      0.03s  0.54%  runtime.gcTrigger.test
     0.02s  0.36% 59.89%      0.12s  2.18%  runtime.growslice
     0.02s  0.36% 60.25%      0.03s  0.54%  runtime.isSystemGoroutine
     0.02s  0.36% 60.62%      0.35s  6.35%  runtime.runqgrab
     0.01s  0.18% 60.80%      0.03s  0.54%  bytes.Clone (inline)
     0.01s  0.18% 60.98%      0.03s  0.54%  bytes.growSlice
     0.01s  0.18% 61.16%      2.31s 41.92%  database/sql.(*DB).queryDC
     0.01s  0.18% 61.34%      0.38s  6.90%  database/sql.(*Row).Scan
     0.01s  0.18% 61.52%      0.19s  3.45%  database/sql.(*Rows).Next.func1
     0.01s  0.18% 61.71%      0.17s  3.09%  database/sql.(*Rows).nextLocked
     0.01s  0.18% 61.89%      0.07s  1.27%  database/sql.(*Rows).scanLocked
     0.01s  0.18% 62.07%      0.05s  0.91%  encoding/json/jsontext.(*Encoder).WriteValue (inline)
     0.01s  0.18% 62.25%      0.30s  5.44%  encoding/json/jsontext.(*decoderState).ReadValue
     0.01s  0.18% 62.43%      0.26s  4.72%  encoding/json/jsontext.(*decoderState).consumeObject
     0.01s  0.18% 62.61%      0.04s  0.73%  encoding/json/jsontext.(*encoderState).WriteValue
     0.01s  0.18% 62.79%      0.03s  0.54%  encoding/json/jsontext.getBufferedEncoder
     0.01s  0.18% 62.98%      0.17s  3.09%  encoding/json/v2.Marshal
     0.01s  0.18% 63.16%      0.38s  6.90%  encoding/json/v2.Unmarshal
     0.01s  0.18% 63.34%      2.75s 49.91%  github.com/graydeon/mousa/internal/sqlite.verifyExactTrailContent
     0.01s  0.18% 63.52%      0.03s  0.54%  modernc.org/memory.(*Allocator).UintptrFree
     0.01s  0.18% 63.70%      2.18s 39.56%  modernc.org/sqlite.(*conn).query
     0.01s  0.18% 63.88%      0.04s  0.73%  modernc.org/sqlite/lib.Xsqlite3_free
     0.01s  0.18% 64.07%      0.06s  1.09%  modernc.org/sqlite/lib.Xsqlite3_mutex_enter (inline)
     0.01s  0.18% 64.25%      0.05s  0.91%  modernc.org/sqlite/lib._clearSelect
     0.01s  0.18% 64.43%      0.03s  0.54%  modernc.org/sqlite/lib._codeEqualityTerm
     0.01s  0.18% 64.61%      0.10s  1.81%  modernc.org/sqlite/lib._resolveExprStep
     0.01s  0.18% 64.79%      0.07s  1.27%  modernc.org/sqlite/lib._selectInnerLoop
     0.01s  0.18% 64.97%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3ColumnIndex
     0.01s  0.18% 65.15%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3DbStrNDup
     0.01s  0.18% 65.34%      0.08s  1.45%  modernc.org/sqlite/lib._sqlite3ExprCodeTarget
     0.01s  0.18% 65.52%      0.05s  0.91%  modernc.org/sqlite/lib._sqlite3GetToken
     0.01s  0.18% 65.70%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3NameFromToken
     0.01s  0.18% 65.88%      1.46s 26.50%  modernc.org/sqlite/lib._sqlite3Prepare
     0.01s  0.18% 66.06%      0.08s  1.45%  modernc.org/sqlite/lib._sqlite3ResolveExprListNames
     0.01s  0.18% 66.24%      0.92s 16.70%  modernc.org/sqlite/lib._sqlite3Select
     0.01s  0.18% 66.42%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3SelectAddTypeInfo
     0.01s  0.18% 66.61%      0.09s  1.63%  modernc.org/sqlite/lib._sqlite3SelectExpand
     0.01s  0.18% 66.79%      0.34s  6.17%  modernc.org/sqlite/lib._sqlite3SelectPrep
     0.01s  0.18% 66.97%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3VdbeMemGrow
     0.01s  0.18% 67.15%      0.03s  0.54%  modernc.org/sqlite/lib._sqlite3WhereEnd
     0.01s  0.18% 67.33%      0.03s  0.54%  modernc.org/sqlite/lib._whereLoopAddBtreeIndex
     0.01s  0.18% 67.51%      0.06s  1.09%  modernc.org/sqlite/lib._whereScanNext
     0.01s  0.18% 67.70%      0.06s  1.09%  modernc.org/sqlite/lib._whereShortCut
     0.01s  0.18% 67.88%      0.03s  0.54%  modernc.org/sqlite/lib._yy_find_reduce_action
     0.01s  0.18% 68.06%      0.05s  0.91%  runtime.(*mcache).nextFree
     0.01s  0.18% 68.24%      0.05s  0.91%  runtime.(*mcache).releaseAll
     0.01s  0.18% 68.42%      0.03s  0.54%  runtime.(*mcentral).cacheSpan
     0.01s  0.18% 68.60%      0.03s  0.54%  runtime.(*pageAlloc).update
     0.01s  0.18% 68.78%      0.53s  9.62%  runtime.findRunnable
     0.01s  0.18% 68.97%      0.06s  1.09%  runtime.gdestroy
     0.01s  0.18% 69.15%      0.18s  3.27%  runtime.makeslice
     0.01s  0.18% 69.33%      0.39s  7.08%  runtime.mallocgc
     0.01s  0.18% 69.51%      0.14s  2.54%  runtime.mallocgcSmallNoscan
     0.01s  0.18% 69.69%      0.07s  1.27%  runtime.newobject
     0.01s  0.18% 69.87%      0.12s  2.18%  runtime.scanObject
