File: diagnostic
Build ID: c5c547761b7abed7a06d8d64f49e8485c1ad07cd
Type: cpu
Time: 2026-09-16 21:25:21 UTC
Duration: 4.17s, Total samples = 5.51s (132.02%)
Showing nodes accounting for 3.88s, 70.42% of 5.51s total
Dropped 466 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     0.01s  0.18% 16.88%      0.30s  5.44%  encoding/json/jsontext.(*decoderState).ReadValue
         0     0% 16.88%      0.30s  5.44%  github.com/graydeon/mousa/internal/sqlite.getArtifact
         0     0% 16.88%      0.30s  5.44%  github.com/graydeon/mousa/internal/sqlite.getObservation
     0.02s  0.36% 17.24%      0.28s  5.08%  encoding/json/v2.makeMethodArshaler.func3
         0     0% 17.24%      0.28s  5.08%  runtime.gcBgMarkWorker.func2
         0     0% 17.24%      0.28s  5.08%  runtime.gcDrain
     0.04s  0.73% 17.97%      0.27s  4.90%  encoding/json/v2.makeStructArshaler.func3
     0.01s  0.18% 18.15%      0.26s  4.72%  encoding/json/jsontext.(*decoderState).consumeObject
         0     0% 18.15%      0.25s  4.54%  encoding/json/jsontext.(*Decoder).ReadValue (inline)
         0     0% 18.15%      0.24s  4.36%  github.com/graydeon/mousa/internal/sqlite.verifyPolicyDecisionRecords
         0     0% 18.15%      0.23s  4.17%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.0dcd03afbde88ccecc209e5531ea1ad4736511c0737b39f41f5b23eeb333a528]
         0     0% 18.15%      0.22s  3.99%  database/sql.(*DB).QueryContext
         0     0% 18.15%      0.22s  3.99%  database/sql.(*DB).QueryContext.func1
         0     0% 18.15%      0.22s  3.99%  database/sql.(*DB).query
         0     0% 18.15%      0.22s  3.99%  database/sql.(*DB).retry
         0     0% 18.15%      0.21s  3.81%  modernc.org/sqlite/lib._resolveSelectStep
         0     0% 18.15%      0.21s  3.81%  modernc.org/sqlite/lib._sqlite3ResolveSelectNames
         0     0% 18.15%      0.20s  3.63%  database/sql.(*Rows).Next
         0     0% 18.15%      0.20s  3.63%  database/sql.(*Rows).close
         0     0% 18.15%      0.20s  3.63%  github.com/graydeon/mousa/internal/sqlite.getPolicyDecision
         0     0% 18.15%      0.20s  3.63%  github.com/graydeon/mousa/internal/sqlite.getSource
         0     0% 18.15%      0.19s  3.45%  database/sql.(*Rows).Close
     0.01s  0.18% 18.33%      0.19s  3.45%  database/sql.(*Rows).Next.func1
     0.01s  0.18% 18.51%      0.18s  3.27%  runtime.makeslice
     0.01s  0.18% 18.69%      0.17s  3.09%  database/sql.(*Rows).nextLocked
         0     0% 18.69%      0.17s  3.09%  encoding/json.Marshal (inline)
     0.17s  3.09% 21.78%      0.17s  3.09%  encoding/json/internal/jsonwire.ConsumeSimpleString (inline)
     0.01s  0.18% 21.96%      0.17s  3.09%  encoding/json/v2.Marshal
         0     0% 21.96%      0.17s  3.09%  github.com/graydeon/mousa/internal/mousa.EncodeSegment
         0     0% 21.96%      0.16s  2.90%  database/sql.(*DB).QueryRowContext
     0.02s  0.36% 22.32%      0.16s  2.90%  modernc.org/sqlite.(*rows).Next
         0     0% 22.32%      0.15s  2.72%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.306a23f933d01715a5149d224e0aadf87151f63a1f21c3817e81e45011b6c367]
         0     0% 22.32%      0.15s  2.72%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.ObservationID "json:\"id\""; SourceID github.com/graydeon/mousa/internal/mousa.SourceID "json:\"source_id\""; ExternalObservationID string "json:\"external_observation_id\"" }]
         0     0% 22.32%      0.15s  2.72%  modernc.org/sqlite.(*conn).finalize
         0     0% 22.32%      0.15s  2.72%  modernc.org/sqlite/lib.Xsqlite3_finalize
     0.15s  2.72% 25.05%      0.15s  2.72%  runtime.futex
         0     0% 25.05%      0.14s  2.54%  database/sql.(*Rows).close.func1
         0     0% 25.05%      0.14s  2.54%  github.com/graydeon/mousa/internal/sqlite.projectedInputs
         0     0% 25.05%      0.14s  2.54%  modernc.org/sqlite.(*rows).Close
         0     0% 25.05%      0.14s  2.54%  runtime.gcDrainMarkWorkerIdle (inline)
     0.01s  0.18% 25.23%      0.14s  2.54%  runtime.mallocgcSmallNoscan
         0     0% 25.23%      0.13s  2.36%  encoding/json/v2.makeStringArshaler.func2
         0     0% 25.23%      0.13s  2.36%  github.com/graydeon/mousa/internal/mousa.DecodeRepresentation
     0.13s  2.36% 27.59%      0.13s  2.36%  internal/runtime/syscall/linux.Syscall6
     0.02s  0.36% 27.95%      0.13s  2.36%  modernc.org/sqlite.newRows
         0     0% 27.95%      0.13s  2.36%  syscall.RawSyscall6
     0.02s  0.36% 28.31%      0.12s  2.18%  modernc.org/sqlite/lib._sqlite3WalkExprNN
     0.02s  0.36% 28.68%      0.12s  2.18%  runtime.growslice
     0.01s  0.18% 28.86%      0.12s  2.18%  runtime.scanObject
         0     0% 28.86%      0.12s  2.18%  syscall.Syscall6
     0.02s  0.36% 29.22%      0.11s  2.00%  encoding/json/jsontext.(*decoderState).consumeString
     0.03s  0.54% 29.76%      0.11s  2.00%  modernc.org/sqlite/lib._sqlite3VdbeHalt
         0     0% 29.76%      0.11s  2.00%  modernc.org/sqlite/lib._sqlite3VdbeReset
         0     0% 29.76%      0.11s  2.00%  runtime.stopm
     0.02s  0.36% 30.13%      0.10s  1.81%  encoding/json/jsontext.(*decoderState).fetch
         0     0% 30.13%      0.10s  1.81%  github.com/graydeon/mousa/internal/mousa.EncodeRepresentation
         0     0% 30.13%      0.10s  1.81%  modernc.org/libc.Xpread
         0     0% 30.13%      0.10s  1.81%  modernc.org/libc.___syscall_cp
         0     0% 30.13%      0.10s  1.81%  modernc.org/sqlite/lib._getPageNormal
     0.01s  0.18% 30.31%      0.10s  1.81%  modernc.org/sqlite/lib._resolveExprStep
         0     0% 30.31%      0.10s  1.81%  modernc.org/sqlite/lib._seekAndRead
     0.02s  0.36% 30.67%      0.10s  1.81%  modernc.org/sqlite/lib._sqlite3BtreeIndexMoveto
         0     0% 30.67%      0.10s  1.81%  modernc.org/sqlite/lib._sqlite3OsRead (inline)
         0     0% 30.67%      0.10s  1.81%  modernc.org/sqlite/lib._sqlite3PagerGet (inline)
         0     0% 30.67%      0.10s  1.81%  modernc.org/sqlite/lib._unixRead
         0     0% 30.67%      0.10s  1.81%  modernc.org/sqlite/lib._vdbeColumnFromOverflow
     0.02s  0.36% 31.03%      0.09s  1.63%  crypto/internal/fips140/sha256.(*Digest).Write
         0     0% 31.03%      0.09s  1.63%  encoding/json/jsontext.(*decoderState).CheckNextValue
     0.04s  0.73% 31.76%      0.09s  1.63%  encoding/json/v2.makeStringArshaler.func1
     0.06s  1.09% 32.85%      0.09s  1.63%  github.com/graydeon/mousa/internal/mousa.decodeLowerHex
         0     0% 32.85%      0.09s  1.63%  github.com/graydeon/mousa/internal/sqlite.readPolicyInputParents
     0.09s  1.63% 34.48%      0.09s  1.63%  modernc.org/libc.Xmemcpy
         0     0% 34.48%      0.09s  1.63%  modernc.org/sqlite/lib._sqlite3GenerateColumnNames
     0.01s  0.18% 34.66%      0.09s  1.63%  modernc.org/sqlite/lib._sqlite3SelectExpand
         0     0% 34.66%      0.09s  1.63%  runtime.futexsleep
         0     0% 34.66%      0.08s  1.45%  database/sql.(*Rows).Scan
     0.02s  0.36% 35.03%      0.08s  1.45%  encoding/json/jsontext.(*Decoder).ReadToken (partial-inline)
         0     0% 35.03%      0.08s  1.45%  github.com/graydeon/mousa/internal/mousa.DecodeObservation
         0     0% 35.03%      0.08s  1.45%  github.com/graydeon/mousa/internal/mousa.EncodeSourceTrail
         0     0% 35.03%      0.08s  1.45%  github.com/graydeon/mousa/internal/mousa.NewSegmentID
         0     0% 35.03%      0.08s  1.45%  github.com/graydeon/mousa/internal/mousa.Segment.Validate
         0     0% 35.03%      0.08s  1.45%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.26d71ac27b713a37a9e53eacc7bfd28233f5cabc6f1b949914d56ebf7bd6df9b]
         0     0% 35.03%      0.08s  1.45%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.ArtifactID "json:\"id\""; ObservationID github.com/graydeon/mousa/internal/mousa.ObservationID "json:\"observation_id\""; ArtifactKey string "json:\"artifact_key\""; MediaType string "json:\"media_type\""; ContentSHA256 github.com/graydeon/mousa/internal/mousa.SHA256 "json:\"content_sha256\""; ByteLength uint64 "json:\"byte_length\"" }]
         0     0% 35.03%      0.08s  1.45%  modernc.org/sqlite/lib._accessPayload
         0     0% 35.03%      0.08s  1.45%  modernc.org/sqlite/lib._fts5FilterMethod
         0     0% 35.03%      0.08s  1.45%  modernc.org/sqlite/lib._fts5NextMethod
     0.05s  0.91% 35.93%      0.08s  1.45%  modernc.org/sqlite/lib._lookupName
         0     0% 35.93%      0.08s  1.45%  modernc.org/sqlite/lib._sqlite3BtreePayload (inline)
     0.01s  0.18% 36.12%      0.08s  1.45%  modernc.org/sqlite/lib._sqlite3ExprCodeTarget
     0.01s  0.18% 36.30%      0.08s  1.45%  modernc.org/sqlite/lib._sqlite3ResolveExprListNames
     0.03s  0.54% 36.84%      0.08s  1.45%  modernc.org/sqlite/lib._sqlite3VdbeSetColName
     0.02s  0.36% 37.21%      0.08s  1.45%  modernc.org/sqlite/lib._sqlite3WhereCodeOneLoopStart
     0.02s  0.36% 37.57%      0.08s  1.45%  runtime.(*sweepLocked).sweep
     0.03s  0.54% 38.11%      0.08s  1.45%  runtime.mallocgcSmallScanNoHeader
         0     0% 38.11%      0.08s  1.45%  runtime.wakep
         0     0% 38.11%      0.07s  1.27%  crypto/internal/fips140/sha256.block
     0.07s  1.27% 39.38%      0.07s  1.27%  crypto/internal/fips140/sha256.blockSHANI
     0.01s  0.18% 39.56%      0.07s  1.27%  database/sql.(*Rows).scanLocked
         0     0% 39.56%      0.07s  1.27%  encoding/hex.EncodeToString (inline)
         0     0% 39.56%      0.07s  1.27%  encoding/json/v2.makeSliceArshaler.func2
     0.04s  0.73% 40.29%      0.07s  1.27%  encoding/json/v2.makeString
         0     0% 40.29%      0.07s  1.27%  github.com/graydeon/mousa/internal/mousa.DecodeSourceTrail
         0     0% 40.29%      0.07s  1.27%  github.com/graydeon/mousa/internal/mousa.EncodeObservation
