File: diagnostic
Build ID: abd29e9db092f2100ef189cb53825be3ba977096
Type: cpu
Time: 2026-09-16 07:18:10 UTC
Duration: 4.15s, Total samples = 4.46s (107.46%)
Showing nodes accounting for 2.97s, 66.59% of 4.46s total
Dropped 363 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     0.02s  0.45% 52.47%      0.03s  0.67%  modernc.org/sqlite/lib._yy_find_reduce_action
     0.02s  0.45% 52.91%      0.10s  2.24%  runtime.makeslice
     0.02s  0.45% 53.36%      0.03s  0.67%  runtime.mallocgcSmallNoScanSC6
     0.02s  0.45% 53.81%      0.08s  1.79%  runtime.mallocgcSmallNoscan
     0.02s  0.45% 54.26%      0.06s  1.35%  runtime.slicebytetostring
     0.01s  0.22% 54.48%      0.03s  0.67%  bytes.(*Buffer).Write
     0.01s  0.22% 54.71%      0.04s   0.9%  database/sql.(*DB).putConn
     0.01s  0.22% 54.93%      0.40s  8.97%  database/sql.(*Row).Scan
     0.01s  0.22% 55.16%      0.30s  6.73%  database/sql.(*Rows).Close
     0.01s  0.22% 55.38%      0.03s  0.67%  database/sql.(*Rows).Scan
     0.01s  0.22% 55.61%      0.12s  2.69%  database/sql.(*Rows).nextLocked
     0.01s  0.22% 55.83%      0.08s  1.79%  encoding/json/jsontext.(*decoderState).consumeString
     0.01s  0.22% 56.05%      0.06s  1.35%  encoding/json/jsontext.(*decoderState).fetch
     0.01s  0.22% 56.28%      0.29s  6.50%  encoding/json/v2.Unmarshal
     0.01s  0.22% 56.50%      0.04s   0.9%  encoding/json/v2.lookupArshaler
     0.01s  0.22% 56.73%      0.26s  5.83%  encoding/json/v2.unmarshalDecode
     0.01s  0.22% 56.95%      0.05s  1.12%  github.com/graydeon/mousa/internal/mousa.writeTuple
     0.01s  0.22% 57.17%      0.03s  0.67%  github.com/graydeon/mousa/internal/packingdiag.Stage
     0.01s  0.22% 57.40%      2.25s 50.45%  github.com/graydeon/mousa/internal/sqlite.lexicalRepresentationPaths
     0.01s  0.22% 57.62%      0.22s  4.93%  modernc.org/libc.X__syscall3
     0.01s  0.22% 57.85%      0.05s  1.12%  modernc.org/libc._fstatat_kstat
     0.01s  0.22% 58.07%      0.07s  1.57%  modernc.org/sqlite.(*conn).bindBlob
     0.01s  0.22% 58.30%      2.17s 48.65%  modernc.org/sqlite.(*conn).query
     0.01s  0.22% 58.52%      0.71s 15.92%  modernc.org/sqlite/lib.Xsqlite3_step
     0.01s  0.22% 58.74%      0.04s   0.9%  modernc.org/sqlite/lib._getPageNormal
     0.01s  0.22% 58.97%      0.08s  1.79%  modernc.org/sqlite/lib._innerLoopLoadRow (inline)
     0.01s  0.22% 59.19%      0.14s  3.14%  modernc.org/sqlite/lib._pager_unlock
     0.01s  0.22% 59.42%      0.03s  0.67%  modernc.org/sqlite/lib._pcache1FetchNoMutex
     0.01s  0.22% 59.64%      0.04s   0.9%  modernc.org/sqlite/lib._resolveExprStep
     0.01s  0.22% 59.87%      0.07s  1.57%  modernc.org/sqlite/lib._resolveSelectStep
     0.01s  0.22% 60.09%      0.07s  1.57%  modernc.org/sqlite/lib._sqlite3ExprCodeExprList
     0.01s  0.22% 60.31%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3ExprCodeGetColumn
     0.01s  0.22% 60.54%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3FindTable
     0.01s  0.22% 60.76%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3GetVdbe
     0.01s  0.22% 60.99%      1.32s 29.60%  modernc.org/sqlite/lib._sqlite3LockAndPrepare
     0.01s  0.22% 61.21%      0.05s  1.12%  modernc.org/sqlite/lib._sqlite3ResolveExprListNames
     0.01s  0.22% 61.43%      0.12s  2.69%  modernc.org/sqlite/lib._sqlite3SelectExpand
     0.01s  0.22% 61.66%      0.22s  4.93%  modernc.org/sqlite/lib._sqlite3SelectPrep
     0.01s  0.22% 61.88%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3VdbeClearObject
     0.01s  0.22% 62.11%      0.23s  5.16%  modernc.org/sqlite/lib._sqlite3VdbeHalt
     0.01s  0.22% 62.33%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3VdbeMemGrow
     0.01s  0.22% 62.56%      0.11s  2.47%  modernc.org/sqlite/lib._sqlite3VdbeSetColName
     0.01s  0.22% 62.78%      0.21s  4.71%  modernc.org/sqlite/lib._sqlite3WalBeginReadTransaction (inline)
     0.01s  0.22% 63.00%      0.20s  4.48%  modernc.org/sqlite/lib._sqlite3WalkSelect
     0.01s  0.22% 63.23%      0.04s   0.9%  modernc.org/sqlite/lib._sqlite3WhereExprAnalyze
     0.01s  0.22% 63.45%      0.26s  5.83%  modernc.org/sqlite/lib._unixShmLock
     0.01s  0.22% 63.68%      0.25s  5.61%  modernc.org/sqlite/lib._unixShmSystemLock
     0.01s  0.22% 63.90%      0.16s  3.59%  modernc.org/sqlite/lib._unlockBtreeIfUnused
     0.01s  0.22% 64.13%      0.16s  3.59%  modernc.org/sqlite/lib._vdbeCommit
     0.01s  0.22% 64.35%      0.19s  4.26%  modernc.org/sqlite/lib._walTryBeginRead
     0.01s  0.22% 64.57%      0.10s  2.24%  modernc.org/sqlite/lib._whereLoopAddAll
     0.01s  0.22% 64.80%      0.08s  1.79%  modernc.org/sqlite/lib._whereLoopAddBtree
     0.01s  0.22% 65.02%      0.04s   0.9%  reflect.Value.Field
     0.01s  0.22% 65.25%      0.06s  1.35%  runtime.(*mcache).refill
     0.01s  0.22% 65.47%      0.05s  1.12%  runtime.growslice
     0.01s  0.22% 65.70%      0.24s  5.38%  runtime.mallocgc
     0.01s  0.22% 65.92%      0.06s  1.35%  runtime.newobject
     0.01s  0.22% 66.14%      0.04s   0.9%  runtime.scanObject
     0.01s  0.22% 66.37%      0.03s  0.67%  sync.(*Mutex).Unlock (inline)
     0.01s  0.22% 66.59%      0.26s  5.83%  syscall.RawSyscall6
         0     0% 66.59%      2.30s 51.57%  database/sql.(*DB).QueryContext
         0     0% 66.59%      2.30s 51.57%  database/sql.(*DB).QueryContext.func1
         0     0% 66.59%      1.97s 44.17%  database/sql.(*DB).QueryRowContext (partial-inline)
         0     0% 66.59%      2.30s 51.57%  database/sql.(*DB).query
         0     0% 66.59%      2.22s 49.78%  database/sql.(*DB).queryDC.func1
         0     0% 66.59%      2.30s 51.57%  database/sql.(*DB).retry
         0     0% 66.59%      0.15s  3.36%  database/sql.(*Rows).Next
         0     0% 66.59%      0.13s  2.91%  database/sql.(*Rows).Next.func1
         0     0% 66.59%      0.29s  6.50%  database/sql.(*Rows).close
         0     0% 66.59%      0.24s  5.38%  database/sql.(*Rows).close.func1
         0     0% 66.59%      0.04s   0.9%  database/sql.(*driverConn).releaseConn
         0     0% 66.59%      2.17s 48.65%  database/sql.ctxDriverQuery
         0     0% 66.59%      2.46s 55.16%  database/sql.withLock
         0     0% 66.59%      0.04s   0.9%  encoding/hex.EncodeToString (inline)
         0     0% 66.59%      0.42s  9.42%  encoding/json.(*Decoder).Decode
         0     0% 66.59%      0.06s  1.35%  encoding/json.(*Decoder).DisallowUnknownFields
         0     0% 66.59%      0.08s  1.79%  encoding/json.(*Decoder).Token
         0     0% 66.59%      0.44s  9.87%  encoding/json.(*Encoder).Encode
         0     0% 66.59%      0.03s  0.67%  encoding/json.(*Encoder).SetEscapeHTML
         0     0% 66.59%      0.18s  4.04%  encoding/json.Marshal (inline)
         0     0% 66.59%      0.04s   0.9%  encoding/json.Unmarshal (inline)
         0     0% 66.59%      0.04s   0.9%  encoding/json/jsontext.(*Decoder).ReadToken (partial-inline)
         0     0% 66.59%      0.16s  3.59%  encoding/json/jsontext.(*Decoder).ReadValue (inline)
         0     0% 66.59%      0.07s  1.57%  encoding/json/jsontext.(*Encoder).WriteToken
         0     0% 66.59%      0.05s  1.12%  encoding/json/jsontext.(*Encoder).WriteValue (inline)
         0     0% 66.59%      0.06s  1.35%  encoding/json/jsontext.(*decoderState).CheckNextValue
         0     0% 66.59%      0.04s   0.9%  encoding/json/jsontext.(*decoderState).ReadToken
         0     0% 66.59%      0.05s  1.12%  encoding/json/jsontext.(*encoderState).WriteValue
         0     0% 66.59%      0.03s  0.67%  encoding/json/jsontext.Token.String (inline)
         0     0% 66.59%      0.04s   0.9%  encoding/json/v2.GetOption[go.shape.bool] (inline)
         0     0% 66.59%      0.05s  1.12%  encoding/json/v2.JoinOptions (inline)
         0     0% 66.59%      0.18s  4.04%  encoding/json/v2.Marshal
         0     0% 66.59%      0.41s  9.19%  encoding/json/v2.MarshalEncode
         0     0% 66.59%      0.10s  2.24%  encoding/json/v2.makeSliceArshaler.func2
         0     0% 66.59%      0.06s  1.35%  encoding/json/v2.makeStringArshaler.func2
         0     0% 66.59%      0.46s 10.31%  encoding/json/v2.marshalEncode
         0     0% 66.59%      0.10s  2.24%  github.com/graydeon/mousa/internal/mousa.DecodeArtifact
         0     0% 66.59%      0.10s  2.24%  github.com/graydeon/mousa/internal/mousa.DecodeObservation
         0     0% 66.59%      0.06s  1.35%  github.com/graydeon/mousa/internal/mousa.DecodePolicyDecision
         0     0% 66.59%      0.17s  3.81%  github.com/graydeon/mousa/internal/mousa.DecodeRepresentation
         0     0% 66.59%      0.23s  5.16%  github.com/graydeon/mousa/internal/mousa.DecodeSegment
         0     0% 66.59%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.DecodeSource
         0     0% 66.59%      0.11s  2.47%  github.com/graydeon/mousa/internal/mousa.DecodeSourceTrail
