File: diagnostic
Build ID: abd29e9db092f2100ef189cb53825be3ba977096
Type: cpu
Time: 2026-09-16 07:18:10 UTC
Duration: 4.15s, Total samples = 4.46s (107.46%)
Showing nodes accounting for 2.97s, 66.59% of 4.46s total
Dropped 363 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
         0     0%  9.64%      0.26s  5.83%  modernc.org/sqlite/lib._sqlite3OsShmLock (inline)
     0.01s  0.22%  9.87%      0.26s  5.83%  modernc.org/sqlite/lib._unixShmLock
     0.01s  0.22% 10.09%      0.26s  5.83%  syscall.RawSyscall6
         0     0% 10.09%      0.26s  5.83%  syscall.Syscall
         0     0% 10.09%      0.25s  5.61%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.0dcd03afbde88ccecc209e5531ea1ad4736511c0737b39f41f5b23eeb333a528]
     0.25s  5.61% 15.70%      0.25s  5.61%  internal/runtime/syscall/linux.Syscall6
     0.01s  0.22% 15.92%      0.25s  5.61%  modernc.org/sqlite/lib._unixShmSystemLock
         0     0% 15.92%      0.24s  5.38%  database/sql.(*Rows).close.func1
     0.02s  0.45% 16.37%      0.24s  5.38%  encoding/json/jsontext.(*decoderState).ReadValue
         0     0% 16.37%      0.24s  5.38%  modernc.org/sqlite.(*conn).finalize
         0     0% 16.37%      0.24s  5.38%  modernc.org/sqlite.(*rows).Close
         0     0% 16.37%      0.24s  5.38%  modernc.org/sqlite/lib.Xsqlite3_finalize
     0.01s  0.22% 16.59%      0.24s  5.38%  runtime.mallocgc
         0     0% 16.59%      0.23s  5.16%  github.com/graydeon/mousa/internal/mousa.DecodeSegment
         0     0% 16.59%      0.23s  5.16%  modernc.org/libc.Xfcntl
     0.02s  0.45% 17.04%      0.23s  5.16%  modernc.org/sqlite/lib._pagerBeginReadTransaction
     0.01s  0.22% 17.26%      0.23s  5.16%  modernc.org/sqlite/lib._sqlite3VdbeHalt
     0.01s  0.22% 17.49%      0.22s  4.93%  modernc.org/libc.X__syscall3
     0.01s  0.22% 17.71%      0.22s  4.93%  modernc.org/sqlite/lib._sqlite3SelectPrep
         0     0% 17.71%      0.21s  4.71%  modernc.org/sqlite/lib._sqlite3VdbeReset
     0.01s  0.22% 17.94%      0.21s  4.71%  modernc.org/sqlite/lib._sqlite3WalBeginReadTransaction (inline)
         0     0% 17.94%      0.20s  4.48%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.306a23f933d01715a5149d224e0aadf87151f63a1f21c3817e81e45011b6c367]
     0.01s  0.22% 18.16%      0.20s  4.48%  modernc.org/sqlite/lib._sqlite3WalkSelect
         0     0% 18.16%      0.20s  4.48%  modernc.org/sqlite/lib._walBeginReadTransaction
     0.04s   0.9% 19.06%      0.19s  4.26%  encoding/json/jsontext.(*decoderState).consumeObject
         0     0% 19.06%      0.19s  4.26%  github.com/graydeon/mousa/internal/mousa.EncodeSegment
         0     0% 19.06%      0.19s  4.26%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.ObservationID "json:\"id\""; SourceID github.com/graydeon/mousa/internal/mousa.SourceID "json:\"source_id\""; ExternalObservationID string "json:\"external_observation_id\"" }]
     0.01s  0.22% 19.28%      0.19s  4.26%  modernc.org/sqlite/lib._walTryBeginRead
         0     0% 19.28%      0.18s  4.04%  encoding/json.Marshal (inline)
         0     0% 19.28%      0.18s  4.04%  encoding/json/v2.Marshal
     0.04s   0.9% 20.18%      0.17s  3.81%  encoding/json/v2.makeStructArshaler.func3
         0     0% 20.18%      0.17s  3.81%  github.com/graydeon/mousa/internal/mousa.DecodeRepresentation
         0     0% 20.18%      0.16s  3.59%  encoding/json/jsontext.(*Decoder).ReadValue (inline)
     0.01s  0.22% 20.40%      0.16s  3.59%  modernc.org/sqlite/lib._unlockBtreeIfUnused
     0.01s  0.22% 20.63%      0.16s  3.59%  modernc.org/sqlite/lib._vdbeCommit
         0     0% 20.63%      0.15s  3.36%  database/sql.(*Rows).Next
     0.15s  3.36% 23.99%      0.15s  3.36%  encoding/json/internal/jsonwire.ConsumeSimpleString (inline)
         0     0% 23.99%      0.15s  3.36%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.ArtifactID "json:\"id\""; ObservationID github.com/graydeon/mousa/internal/mousa.ObservationID "json:\"observation_id\""; ArtifactKey string "json:\"artifact_key\""; MediaType string "json:\"media_type\""; ContentSHA256 github.com/graydeon/mousa/internal/mousa.SHA256 "json:\"content_sha256\""; ByteLength uint64 "json:\"byte_length\"" }]
         0     0% 23.99%      0.15s  3.36%  modernc.org/sqlite/lib._btreeEndTransaction
         0     0% 23.99%      0.15s  3.36%  modernc.org/sqlite/lib._releasePageOne (inline)
         0     0% 23.99%      0.15s  3.36%  modernc.org/sqlite/lib._sqlite3BtreeCommitPhaseTwo
         0     0% 23.99%      0.15s  3.36%  modernc.org/sqlite/lib._sqlite3PagerUnrefPageOne
     0.09s  2.02% 26.01%      0.14s  3.14%  github.com/graydeon/mousa/internal/mousa.decodeLowerHex
         0     0% 26.01%      0.14s  3.14%  github.com/graydeon/mousa/internal/sqlite.getPolicyDecision
         0     0% 26.01%      0.14s  3.14%  modernc.org/sqlite/lib._pagerUnlockAndRollback
         0     0% 26.01%      0.14s  3.14%  modernc.org/sqlite/lib._pagerUnlockIfUnused (inline)
     0.01s  0.22% 26.23%      0.14s  3.14%  modernc.org/sqlite/lib._pager_unlock
         0     0% 26.23%      0.14s  3.14%  runtime.systemstack
         0     0% 26.23%      0.13s  2.91%  database/sql.(*Rows).Next.func1
         0     0% 26.23%      0.13s  2.91%  modernc.org/sqlite/lib._sqlite3WalEndReadTransaction
         0     0% 26.23%      0.13s  2.91%  modernc.org/sqlite/lib._walLockShared
         0     0% 26.23%      0.13s  2.91%  modernc.org/sqlite/lib._walUnlockShared
         0     0% 26.23%      0.13s  2.91%  runtime.gcBgMarkWorker
     0.01s  0.22% 26.46%      0.12s  2.69%  database/sql.(*Rows).nextLocked
         0     0% 26.46%      0.12s  2.69%  modernc.org/sqlite/lib._sqlite3GenerateColumnNames
     0.01s  0.22% 26.68%      0.12s  2.69%  modernc.org/sqlite/lib._sqlite3SelectExpand
         0     0% 26.68%      0.11s  2.47%  github.com/graydeon/mousa/internal/mousa.DecodeSourceTrail
         0     0% 26.68%      0.11s  2.47%  modernc.org/sqlite.(*rows).Next
     0.01s  0.22% 26.91%      0.11s  2.47%  modernc.org/sqlite/lib._sqlite3VdbeSetColName
         0     0% 26.91%      0.10s  2.24%  encoding/json/v2.makeSliceArshaler.func2
         0     0% 26.91%      0.10s  2.24%  github.com/graydeon/mousa/internal/mousa.DecodeArtifact
         0     0% 26.91%      0.10s  2.24%  github.com/graydeon/mousa/internal/mousa.DecodeObservation
         0     0% 26.91%      0.10s  2.24%  github.com/graydeon/mousa/internal/mousa.rejectDuplicateJSONKeys
         0     0% 26.91%      0.10s  2.24%  github.com/graydeon/mousa/internal/mousa.rejectDuplicateJSONKeys.func1
         0     0% 26.91%      0.10s  2.24%  github.com/graydeon/mousa/internal/sqlite.projectedInputs
     0.10s  2.24% 29.15%      0.10s  2.24%  modernc.org/libc.(*TLS).Alloc
     0.03s  0.67% 29.82%      0.10s  2.24%  modernc.org/sqlite.(*conn).bind
     0.02s  0.45% 30.27%      0.10s  2.24%  modernc.org/sqlite/lib._selectInnerLoop
     0.02s  0.45% 30.72%      0.10s  2.24%  modernc.org/sqlite/lib._sqlite3VdbeMemSetText
     0.01s  0.22% 30.94%      0.10s  2.24%  modernc.org/sqlite/lib._whereLoopAddAll
     0.02s  0.45% 31.39%      0.10s  2.24%  runtime.makeslice
         0     0% 31.39%      0.09s  2.02%  github.com/graydeon/mousa/internal/mousa.EncodeObservation
         0     0% 31.39%      0.09s  2.02%  github.com/graydeon/mousa/internal/mousa.EncodeSourceTrail
         0     0% 31.39%      0.09s  2.02%  github.com/graydeon/mousa/internal/sqlite.verifyPolicyDecisionRecords
     0.02s  0.45% 31.84%      0.09s  2.02%  modernc.org/sqlite/lib._pagerPagecount
     0.03s  0.67% 32.51%      0.09s  2.02%  modernc.org/sqlite/lib._selectExpander
         0     0% 32.51%      0.09s  2.02%  runtime.gcBgMarkWorker.func2
         0     0% 32.51%      0.09s  2.02%  runtime.gcDrain
         0     0% 32.51%      0.08s  1.79%  encoding/json.(*Decoder).Token
     0.01s  0.22% 32.74%      0.08s  1.79%  encoding/json/jsontext.(*decoderState).consumeString
     0.02s  0.45% 33.18%      0.08s  1.79%  encoding/json/v2.makeStringArshaler.func1
         0     0% 33.18%      0.08s  1.79%  github.com/graydeon/mousa/internal/mousa.EncodeRepresentation
         0     0% 33.18%      0.08s  1.79%  modernc.org/sqlite.(*conn).columnBlob
     0.01s  0.22% 33.41%      0.08s  1.79%  modernc.org/sqlite/lib._innerLoopLoadRow (inline)
     0.02s  0.45% 33.86%      0.08s  1.79%  modernc.org/sqlite/lib._sqlite3BtreeIndexMoveto
     0.01s  0.22% 34.08%      0.08s  1.79%  modernc.org/sqlite/lib._whereLoopAddBtree
         0     0% 34.08%      0.08s  1.79%  modernc.org/sqlite/lib._whereScanInit
     0.03s  0.67% 34.75%      0.08s  1.79%  modernc.org/sqlite/lib._whereScanNext
     0.02s  0.45% 35.20%      0.08s  1.79%  runtime.mallocgcSmallNoscan
     0.08s  1.79% 37.00%      0.08s  1.79%  runtime.memmove
         0     0% 37.00%      0.07s  1.57%  encoding/json/jsontext.(*Encoder).WriteToken
     0.03s  0.67% 37.67%      0.07s  1.57%  encoding/json/jsontext.(*encoderState).WriteToken
         0     0% 37.67%      0.07s  1.57%  github.com/graydeon/mousa/internal/mousa.decodeSegmentSelector
         0     0% 37.67%      0.07s  1.57%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.26d71ac27b713a37a9e53eacc7bfd28233f5cabc6f1b949914d56ebf7bd6df9b]
     0.02s  0.45% 38.12%      0.07s  1.57%  modernc.org/libc.Xfstat
     0.01s  0.22% 38.34%      0.07s  1.57%  modernc.org/sqlite.(*conn).bindBlob
     0.01s  0.22% 38.57%      0.07s  1.57%  modernc.org/sqlite/lib._resolveSelectStep
     0.01s  0.22% 38.79%      0.07s  1.57%  modernc.org/sqlite/lib._sqlite3ExprCodeExprList
         0     0% 38.79%      0.07s  1.57%  modernc.org/sqlite/lib._sqlite3ExprCodeTarget
         0     0% 38.79%      0.07s  1.57%  modernc.org/sqlite/lib._sqlite3OsFileSize (inline)
         0     0% 38.79%      0.07s  1.57%  modernc.org/sqlite/lib._sqlite3ResolveSelectNames
         0     0% 38.79%      0.07s  1.57%  modernc.org/sqlite/lib._unixFileSize
     0.02s  0.45% 39.24%      0.07s  1.57%  modernc.org/sqlite/lib._whereShortCut
         0     0% 39.24%      0.06s  1.35%  encoding/json.(*Decoder).DisallowUnknownFields
         0     0% 39.24%      0.06s  1.35%  encoding/json/jsontext.(*decoderState).CheckNextValue
     0.01s  0.22% 39.46%      0.06s  1.35%  encoding/json/jsontext.(*decoderState).fetch
         0     0% 39.46%      0.06s  1.35%  encoding/json/v2.makeStringArshaler.func2
         0     0% 39.46%      0.06s  1.35%  github.com/graydeon/mousa/internal/mousa.DecodePolicyDecision
         0     0% 39.46%      0.06s  1.35%  modernc.org/sqlite/lib._fts5FilterMethod
     0.03s  0.67% 40.13%      0.06s  1.35%  modernc.org/sqlite/lib._sqlite3LocateTable
         0     0% 40.13%      0.06s  1.35%  modernc.org/sqlite/lib._sqlite3LocateTableItem
         0     0% 40.13%      0.06s  1.35%  runtime.(*mcache).nextFree
     0.01s  0.22% 40.36%      0.06s  1.35%  runtime.(*mcache).refill
         0     0% 40.36%      0.06s  1.35%  runtime.mallocgcSmallScanNoHeader
     0.01s  0.22% 40.58%      0.06s  1.35%  runtime.newobject
     0.02s  0.45% 41.03%      0.06s  1.35%  runtime.slicebytetostring
     0.02s  0.45% 41.48%      0.05s  1.12%  crypto/internal/fips140/sha256.(*Digest).Write
     0.03s  0.67% 42.15%      0.05s  1.12%  database/sql.driverArgsConnLocked
     0.05s  1.12% 43.27%      0.05s  1.12%  encoding/hex.Decode
     0.04s   0.9% 44.17%      0.05s  1.12%  encoding/json/internal/jsonwire.AppendQuote
         0     0% 44.17%      0.05s  1.12%  encoding/json/jsontext.(*Encoder).WriteValue (inline)
         0     0% 44.17%      0.05s  1.12%  encoding/json/jsontext.(*encoderState).WriteValue
     0.02s  0.45% 44.62%      0.05s  1.12%  encoding/json/jsontext.(*encoderState).reformatValue
         0     0% 44.62%      0.05s  1.12%  encoding/json/v2.JoinOptions (inline)
         0     0% 44.62%      0.05s  1.12%  github.com/graydeon/mousa/internal/mousa.EncodeArtifact
         0     0% 44.62%      0.05s  1.12%  github.com/graydeon/mousa/internal/mousa.SHA256.MarshalJSON
     0.01s  0.22% 44.84%      0.05s  1.12%  github.com/graydeon/mousa/internal/mousa.writeTuple
         0     0% 44.84%      0.05s  1.12%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.SourceID "json:\"id\""; Namespace string "json:\"namespace\""; ExternalSourceID string "json:\"external_source_id\"" }]
     0.05s  1.12% 45.96%      0.05s  1.12%  modernc.org/libc.(*TLS).Free
         0     0% 45.96%      0.05s  1.12%  modernc.org/libc.X__fstat
         0     0% 45.96%      0.05s  1.12%  modernc.org/libc.X__fstatat
     0.01s  0.22% 46.19%      0.05s  1.12%  modernc.org/libc._fstatat_kstat
         0     0% 46.19%      0.05s  1.12%  modernc.org/sqlite.newRows
         0     0% 46.19%      0.05s  1.12%  modernc.org/sqlite/lib._closeAllCursors
     0.01s  0.22% 46.41%      0.05s  1.12%  modernc.org/sqlite/lib._sqlite3ResolveExprListNames
         0     0% 46.41%      0.05s  1.12%  modernc.org/sqlite/lib._sqlite3VdbeRecordCompare
     0.02s  0.45% 46.86%      0.05s  1.12%  modernc.org/sqlite/lib._sqlite3VdbeRecordCompareWithSkip
         0     0% 46.86%      0.05s  1.12%  modernc.org/sqlite/lib._sqlite3WalkExprNN
     0.01s  0.22% 47.09%      0.05s  1.12%  runtime.growslice
     0.01s  0.22% 47.31%      0.04s   0.9%  database/sql.(*DB).putConn
         0     0% 47.31%      0.04s   0.9%  database/sql.(*driverConn).releaseConn
         0     0% 47.31%      0.04s   0.9%  encoding/hex.EncodeToString (inline)
         0     0% 47.31%      0.04s   0.9%  encoding/json.Unmarshal (inline)
     0.04s   0.9% 48.21%      0.04s   0.9%  encoding/json/internal/jsonopts.GetOption[go.shape.bool]
         0     0% 48.21%      0.04s   0.9%  encoding/json/jsontext.(*Decoder).ReadToken (partial-inline)
         0     0% 48.21%      0.04s   0.9%  encoding/json/jsontext.(*decoderState).ReadToken
         0     0% 48.21%      0.04s   0.9%  encoding/json/v2.GetOption[go.shape.bool] (inline)
     0.01s  0.22% 48.43%      0.04s   0.9%  encoding/json/v2.lookupArshaler
         0     0% 48.43%      0.04s   0.9%  github.com/graydeon/mousa/internal/mousa.NewSegmentID
         0     0% 48.43%      0.04s   0.9%  github.com/graydeon/mousa/internal/mousa.ParseSegmentID (inline)
         0     0% 48.43%      0.04s   0.9%  github.com/graydeon/mousa/internal/mousa.Representation.Validate
         0     0% 48.43%      0.04s   0.9%  github.com/graydeon/mousa/internal/mousa.Segment.Validate
         0     0% 48.43%      0.04s   0.9%  github.com/graydeon/mousa/internal/sqlite.readPolicyInputParents
         0     0% 48.43%      0.04s   0.9%  modernc.org/libc.X__syscall2
     0.04s   0.9% 49.33%      0.04s   0.9%  modernc.org/libc.Xmemcpy
     0.03s  0.67% 50.00%      0.04s   0.9%  modernc.org/libc.Xpthread_mutex_lock
         0     0% 50.00%      0.04s   0.9%  modernc.org/sqlite/lib.Xsqlite3_mutex_enter (inline)
         0     0% 50.00%      0.04s   0.9%  modernc.org/sqlite/lib._fts5NextMethod
         0     0% 50.00%      0.04s   0.9%  modernc.org/sqlite/lib._generateColumnTypes
     0.01s  0.22% 50.22%      0.04s   0.9%  modernc.org/sqlite/lib._getPageNormal
         0     0% 50.22%      0.04s   0.9%  modernc.org/sqlite/lib._pthreadMutexEnter
     0.02s  0.45% 50.67%      0.04s   0.9%  modernc.org/sqlite/lib._releaseMemArray
     0.01s  0.22% 50.90%      0.04s   0.9%  modernc.org/sqlite/lib._resolveExprStep
     0.02s  0.45% 51.35%      0.04s   0.9%  modernc.org/sqlite/lib._sqlite3FinishCoding
     0.04s   0.9% 52.24%      0.04s   0.9%  modernc.org/sqlite/lib._sqlite3GetToken
         0     0% 52.24%      0.04s   0.9%  modernc.org/sqlite/lib._sqlite3PagerGet (inline)
     0.02s  0.45% 52.69%      0.04s   0.9%  modernc.org/sqlite/lib._sqlite3WhereEnd
     0.01s  0.22% 52.91%      0.04s   0.9%  modernc.org/sqlite/lib._sqlite3WhereExprAnalyze
         0     0% 52.91%      0.04s   0.9%  modernc.org/sqlite/lib._walIndexReadHdr
         0     0% 52.91%      0.04s   0.9%  modernc.org/sqlite/lib._walIndexTryHdr
         0     0% 52.91%      0.04s   0.9%  modernc.org/sqlite/lib._whereLoopAddBtreeIndex
     0.01s  0.22% 53.14%      0.04s   0.9%  reflect.Value.Field
         0     0% 53.14%      0.04s   0.9%  runtime.gcDrainMarkWorkerIdle (inline)
     0.01s  0.22% 53.36%      0.04s   0.9%  runtime.scanObject
     0.01s  0.22% 53.59%      0.03s  0.67%  bytes.(*Buffer).Write
     0.01s  0.22% 53.81%      0.03s  0.67%  database/sql.(*Rows).Scan
         0     0% 53.81%      0.03s  0.67%  encoding/json.(*Encoder).SetEscapeHTML
     0.03s  0.67% 54.48%      0.03s  0.67%  encoding/json/internal/jsonwire.ConsumeStringResumable
         0     0% 54.48%      0.03s  0.67%  encoding/json/jsontext.Token.String (inline)
         0     0% 54.48%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.DecodeSource
         0     0% 54.48%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.DerivationInput.MarshalJSON
         0     0% 54.48%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.NewRepresentationID
         0     0% 54.48%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.ObservationID.MarshalJSON
         0     0% 54.48%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.ParseObservationID (inline)
         0     0% 54.48%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.ParseSHA256 (inline)
         0     0% 54.48%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.decodeDerivationInput
     0.01s  0.22% 54.71%      0.03s  0.67%  github.com/graydeon/mousa/internal/packingdiag.Stage
     0.03s  0.67% 55.38%      0.03s  0.67%  internal/abi.Name.IsExported (inline)
     0.03s  0.67% 56.05%      0.03s  0.67%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Load
     0.02s  0.45% 56.50%      0.03s  0.67%  modernc.org/libc.Xmemcmp
     0.03s  0.67% 57.17%      0.03s  0.67%  modernc.org/libc.Xmemset
         0     0% 57.17%      0.03s  0.67%  modernc.org/libc.Xpthread_mutex_unlock
         0     0% 57.17%      0.03s  0.67%  modernc.org/sqlite/lib.Xsqlite3_bind_blob (inline)
         0     0% 57.17%      0.03s  0.67%  modernc.org/sqlite/lib.Xsqlite3_column_blob
         0     0% 57.17%      0.03s  0.67%  modernc.org/sqlite/lib.Xsqlite3_mutex_leave (inline)
     0.03s  0.67% 57.85%      0.03s  0.67%  modernc.org/sqlite/lib.Xsqlite3_value_blob
         0     0% 57.85%      0.03s  0.67%  modernc.org/sqlite/lib._bindText
         0     0% 57.85%      0.03s  0.67%  modernc.org/sqlite/lib._exprAnalyze
     0.02s  0.45% 58.30%      0.03s  0.67%  modernc.org/sqlite/lib._lookupName
         0     0% 58.30%      0.03s  0.67%  modernc.org/sqlite/lib._pcache1Fetch
     0.01s  0.22% 58.52%      0.03s  0.67%  modernc.org/sqlite/lib._pcache1FetchNoMutex
         0     0% 58.52%      0.03s  0.67%  modernc.org/sqlite/lib._pcache1FetchWithMutex
         0     0% 58.52%      0.03s  0.67%  modernc.org/sqlite/lib._pthreadMutexLeave
         0     0% 58.52%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3BinaryCompareCollSeq
     0.02s  0.45% 58.97%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3BtreeCursor
     0.03s  0.67% 59.64%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3DbMallocRawNN
